section,strat,strat2,sampleid,height,CaCO3,TN,del13Ctoc,TOCcfb,Na_Al,K_Al
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,13.34,0.06,-27.5,1.16,0.03139553179448644,0.21647278805557907
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,3.84,0.07,-27.3,0.96,0.024969749981154404,0.21139687440462065
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,5.86,0.07,-27,1.25,0.019748802257822114,0.223754145471994
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,12.84,0.07,-27.8,1.52,0.02312054898476736,0.23632492666750535
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,3.34,0.09,-27.6,2.45,0.033004847608962995,0.24339844443290312
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,9.91,0.06,-27,1.19,0.020091267036859494,0.2510583826327826
Bonenburg,Contorta Beds,Pre-event Beds,350,6.41,20.46,0.06,-27.5,1.14,0.026680501063547763,0.2697451642419719
Bonenburg,Contorta Beds,Pre-event Beds,400,6.9,19.31,0.06,-27,1.12,0.021860309417463475,0.2574800860193152
Bonenburg,Contorta Beds,Pre-event Beds,450,7.4,2.88,0.05,-25.4,0.69,0.047285864560982535,0.2590356066648169
Bonenburg,Contorta Beds,Pre-event Beds,500,7.88,26.52,0.05,-27.6,1.83,0.031012933915987324,0.2709277205175603
Bonenburg,Contorta Beds,Pre-event Beds,550,8.39,14.98,0.07,-29.2,2.35,0.020414492221568926,0.2405036998082658
Bonenburg,Contorta Beds,Pre-event Beds,610,8.97,2.82,0.07,-27,1.76,0.024654555684924424,0.21840311864970524
Bonenburg,Contorta Beds,Pre-event Beds,650,9.38,3.26,0.05,-27,0.93,0.040314796333209287,0.20136448036507934
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,11.49,0.08,-28.4,1.99,0.017115628623445834,0.22570896034595045
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,3.86,0.05,-25.1,1.01,0.02633173634376282,0.21438270596400796
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,4.22,0.07,-24.8,1.01,0.019215050845448545,0.21848539992290664
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,3.93,0.07,-26.7,1.69,0.026170191949015816,0.20271414950186253
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,3.68,0.07,-27.1,1.93,0.025391317188628436,0.2016289397317679
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,4.77,0.07,-27,1.77,0.025241072708222356,0.19859136721974546
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,5.02,0.06,-27.2,2.19,0.03421448544030328,0.20582839363654037
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,5.79,0.03,-27.6,2.37,0.04298268726702461,0.20934191974316002
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,4.31,0.07,-27.1,2.4,0.01316586817188141,0.1873473583899193
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,9.9,0.11,-27.7,4.85,0.04976698168971174,0.2078138765333559
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,8.95,0.07,-28.1,1.89,0.019039870894720808,0.19768961075352573
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,12.13,0.06,-25.1,0.77,0.010756794421281834,0.1587344290967548
Bonenburg,Triletes Beds,Event Beds,1075,13.55,10.06,0.06,-23,0.54,0.004995744444666465,0.1306023967146387
Bonenburg,Triletes Beds,Event Beds,1100,13.89,6.98,0.05,-24,0.35,0.006582934085940705,0.12740969811271224
Bonenburg,Triletes Beds,Event Beds,1150,14.24,8.07,0.05,-23.9,0.53,0.004956562135296532,0.12509580410929463
Bonenburg,Triletes Beds,Event Beds,1200,14.65,9.8,0.05,-23.4,0.37,0.006007240230516233,0.12326602562434799
Bonenburg,Triletes Beds,Event Beds,1250,15.07,8.03,0.05,-23.7,0.45,0.005393247202939374,0.11684314343240895
Bonenburg,Triletes Beds,Event Beds,1300,15.5,13.19,0.03,-23.6,0.39,0.008201688369368748,0.1237798499570262
Bonenburg,Triletes Beds,Event Beds,1350,15.9,13.52,0.04,-23.2,0.34,0.00602505831594573,0.12371970191922248
Bonenburg,Triletes Beds,Event Beds,1400,16.29,11.76,0.04,-23.3,0.45,0.006959930311126738,0.11855461238356647
Bonenburg,Triletes Beds,Event Beds,1450,16.72,8.82,0.04,-23.5,0.48,0.008420809084553593,0.15612413059358718
Bonenburg,Triletes Beds,Event Beds,1500,17.15,10.82,0.03,-23.2,0.42,0.008336177837472652,0.12165988249314555
Bonenburg,Triletes Beds,Event Beds,1550,17.55,9.02,0.05,-23.5,0.3,0.006497441435473943,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,1600,17.94,5.98,0.05,-23.3,0.4,0.011607459286230143,0.13359463491430024
Bonenburg,Triletes Beds,Event Beds,1700,18.81,10.25,0.03,-23,0.36,0.011140349991591962,0.12388904177950064
Bonenburg,Triletes Beds,Event Beds,1755,19.23,13.9,0.02,-23.2,0.22,0.016457335214851765,0.12555421707223585
Bonenburg,Triletes Beds,Event Beds,1800,19.62,8.65,0.04,-24,0.36,0.007439010715950932,0.1262725572657835
Bonenburg,Triletes Beds,Event Beds,1850,20.02,11.61,0.03,-23.4,0.34,0.007181382639208043,0.11683316025200632
Bonenburg,Triletes Beds,Event Beds,1900,20.43,9.74,0.03,-24,0.36,0.015703866855617588,0.11517395566908879
Bonenburg,Triletes Beds,Event Beds,1950,20.87,10.2,0.03,-23.8,0.36,0.012343001411138824,0.11624588718584597
Bonenburg,Triletes Beds,Event Beds,2000,21.29,10.34,0.03,-24.8,0.46,0.009708908372560594,0.12886782287822632
Bonenburg,Triletes Beds,Event Beds,2095,22.11,10.36,0.04,-23.5,0.33,0.010449101723715406,0.14294076163669983
Bonenburg,Triletes Beds,Event Beds,2150,22.5,13.17,0.02,-23.3,0.14,0.02248768724248358,0.1478967369489212
Bonenburg,Triletes Beds,Event Beds,2250,23.31,15.85,0.02,-23.4,0.21,0.01294271786388342,0.13149804616799923
Bonenburg,Triletes Beds,Event Beds,2300,23.73,7.25,0.03,-23.3,0.17,0.007059146338966203,0.10169615234611033
Bonenburg,Triletes Beds,Event Beds,2350,24.17,13.05,0.03,-23.3,0.24,0.01807079945160193,0.1500877997185348
Bonenburg,Triletes Beds,Event Beds,2400,24.65,9.46,0.04,-23.6,0.55,0.014469419476028086,0.14968771799803607
Bonenburg,Triletes Beds,Event Beds,2450,25.03,13.41,0.03,-23.3,0.31,0.01739775436998615,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,2500,25.4,15.39,0.02,-23.5,0.12,0.033012923177254884,0.14965700810051377
Bonenburg,Triletes Beds,Event Beds,2550,25.81,14.99,0.03,-23.2,0.15,0.011285029861612639,0.14101655907620583
Bonenburg,Triletes Beds,Event Beds,2650,26.73,14.8,0.02,-23.4,0.14,0.021027501684587578,0.15174898178514837
Bonenburg,Triletes Beds,Event Beds,2700,27.2,12.38,0.03,-23.4,0.18,0.02062932210371227,0.17472249491976422
Bonenburg,Triletes Beds,Event Beds,2750,27.47,11.23,0.02,-23.2,0.11,0.028341792553210367,0.1514979023582862
Bonenburg,Triletes Beds,Event Beds,2770,27.65,11.99,0.02,-23.5,0.17,0.020019333795600502,0.17507607406577244
Bonenburg,Triletes Beds,Event Beds,2800,27.88,12.24,0.22,-23.1,0.19,0.014286367590764936,0.14480647779717887
Bonenburg,Triletes Beds,Event Beds,2820,28.09,7.27,0.03,-23,0.24,0.024945855483564778,0.1500009935879862
Bonenburg,Triletes Beds,Event Beds,2890,28.69,3.78,0.02,-22.8,0.09,0.02376278645656645,0.13938735621139725
Bonenburg,Triletes Beds,Event Beds,2920,28.93,8.96,0.02,-24.2,0.18,0.01878544605012348,0.14065451399513726
Bonenburg,Triletes Beds,Event Beds,2950,29.16,3.97,0.02,-22.9,0.12,0.021808493290846512,0.15171687918692855
Bonenburg,Triletes Beds,Event Beds,2970,29.39,9.19,0.02,-22.6,0.09,0.023134311216305905,0.14843848323811137
Bonenburg,Psilonotenton Formation,Post-event Beds,3000,29.72,8.22,0.04,-27.5,0.72,0.011968971065346739,0.13539388925658039
Bonenburg,Psilonotenton Formation,Post-event Beds,3020,29.85,17,0.04,-27.7,0.71,0.013424022449761437,0.15484171192681417
Bonenburg,Psilonotenton Formation,Post-event Beds,3040,30.02,10.66,0.06,-28.8,1.46,0.011004307725751629,0.17886467980234116
Bonenburg,Psilonotenton Formation,Post-event Beds,3060,30.16,29.33,0.03,-26.6,0.56,0.014915179327585935,0.1911015717771769
Bonenburg,Psilonotenton Formation,Post-event Beds,3100,30.56,92.64,0.01,-28,2.29,0.03434574305708195,0.1490838679478423
Bonenburg,Psilonotenton Formation,Post-event Beds,3125,30.79,65.18,0.04,-29.2,3.14,0.02348506214443711,0.16428529428650432
Bonenburg,Psilonotenton Formation,Post-event Beds,3140,30.97,31.17,0.06,-28.6,3.75,0.01634383635130106,0.17287964728852453
Bonenburg,Psilonotenton Formation,Post-event Beds,3170,31.17,57.87,0.02,-26.9,0.6,0.012091103423156396,0.1590412320408336
Bonenburg,Psilonotenton Formation,Post-event Beds,3200,31.55,12.82,0.05,-26.9,1.06,0.00850172653251535,0.15888908497281248
Bonenburg,Psilonotenton Formation,Post-event Beds,3220,31.72,9.27,0.11,-30,5.47,0.016852311260008208,0.21266286698580086
Bonenburg,Psilonotenton Formation,Post-event Beds,3300,32.53,52.74,0.04,-26.3,0.88,0.01732351075247554,0.17044383733218227
Bonenburg,Psilonotenton Formation,Post-event Beds,3315,32.67,60.21,0.02,-26.1,0.5,0.01930993998542607,0.18010535966224178
Bonenburg,Psilonotenton Formation,Post-event Beds,3375,33.36,80.94,0.01,-26.2,0.89,0.017885707705197387,0.18232726903398208
Bonenburg,Psilonotenton Formation,Post-event Beds,3400,33.58,49.41,0.03,-25.4,0.42,0.01755449089584188,0.18087504068643936
Bonenburg,Psilonotenton Formation,Post-event Beds,3450,33.9,80.66,0.01,-26,0.44,0.01512674215492758,0.17244130180427406
Bonenburg,Psilonotenton Formation,Post-event Beds,3500,34.17,68.55,0.02,-25.8,0.49,0.017425413756901865,0.17114083949805783
Bonenburg,Psilonotenton Formation,Post-event Beds,3530,34.34,66.6,0.02,-25.4,0.34,0.02004356050047618,0.1876528288099706
Bonenburg,Psilonotenton Formation,Post-event Beds,3550,34.44,7.72,0.05,-27.5,1.11,0.00927173814921226,0.15268953839187888
