Height,Lycopodium,Acanthotriletes varius,Anulispora foiliculosa,Aratrisporites parvispinosus,Aratrisporites minimus,Aratrisporites spp,Asseretospora gyrata,Baculatisporites sp.,cf Baculatisporites,Calamaspora tener,Camarozonosporites laevigatus,Camarozonosporites spp,Carnisporites anteriscus,Carnisporites leviornatus,Carnisporites spiniger,Carnisporites lecythus,cf Carnisporites,Cingulizonates rhaeticus,Conbaculatisporites sp,cf Conbaculatisporites,Concavisporites sp.,Convolutispora microgulata,Type A ''Convolutispora light'',Converrucosisporites luebbenensis,cf Converrucosisporites,Cornutisporites rugulatus,Cornutisporites seebergensis,Cosmosporites elegans,cf. Cyclotriletes,Densoisporites nejburgii,Densosporites fissus,Deltoidospora sp.,cf Deltoidospora/Concavisporites ?,Echinitosporites iliacoides,Foveosporites spp,cf Foveosporites spp,Heliosporites reissingeri,cf Heliosporites ?,Ischyosporites,cf Ischyosporites ?,Kyrtomisporitos laevigatus,Kyrtomisporitos speciosus,Limbosporites lundbladii,Lingulizonates rheaticus,Leptolepidites spp.,Lophotriletes gibbosus,Lycopodiaciditis rhaeticus,Lycopodiaciditis rugulatus,cf. Lycopodiaciditis ?,Nevisporites bigranulatus,Perinosporites thuringiacus,Polycingulatisporites bicoilateralis,Polycingulatisporites triangularis,Polypodisporites ipsviciensei,Porcellispora longdonensis,Platyptera trilingua,Retitriletes spp,Ricciisporites tuberculates,Rogalskaisporites cicatricascus,Semiretisporites gothae,Stereisporites cf. seebergensis,Stereisporites spp,Stereisporites seebergensis,Stereisporites infrapunctus,Stereisporites australis,Stereisporites punctatus,Thymospora canaliculata,Trachysporites fuscus,Triancoraesporites ancorea,Triancoraesporites reticulates,Todisporites spp,Uvaesporites spp,Zebrasporites laevigatus,Zebrasporites intersciptus,Zebrasporites spp.,Spores indet,Alisporites diaphanus,Alisporites radialis,Alisporites robustus,Araucariacites australis,cf. Cerebropollenites,cf. Cerebropollenites ??,Chasmatosporites spp,Classopollis meyeriana,Classopollis torosus,Classopollis murphy,Cycadopites sp,Ephedripites sp.,Eucomiidites troedsonii,Guthoerlisporites magnificus,Lagenella martini,Lunatisporites rhaeticus,Neochromotriletes triangularis,Ovalipollis pseudoalatus,Perinopollenites elatoides,Pinuspollenites minimus,Platysaccus sp.,Quadraeculina anellaeformis,cf. Quadraeculina anellaeformis,Rhaetipollis germanicus,Striatoabeiites aytugii,Triadispora spp,Tsugaepollenites pseudomassulae,Vallasporites (reworked),Vesicaspora fuscus,cf Vesicaspora,Vitreisporites palidus,Vitreisporites bjuvensis,Bisaccate indet,Pollen indet,Monosaccate indet,Micrhystridium spp.,Veryhachium,Beaumontella langgi,Cleistosphaeridium mojsisovicsii,Valveodinium koessenium,Dapcodinium priscum,cf. Beaumontella type A,Suessia swabiana,Rheatogonyaulax rheatica,cf Rheatogonyaulax,Hystrichasphaeridium langi,cf Wanneria listeri,Dino contamination,Type 1 ''Dino indet'',Dino indet,Foraminiferal test linings,Botryococcus sp.,cf. Leiosphaeridia,Tasmanites spp.,cf. Tasmanites?,Pterospermella,pterospermella A,Cymatiosphaera polypartita,Cymatiosphaera sp.,Tytthodiscus cf. faveolus,Prasinophyte indet,Spores deformed indet,Pollen deformed indet (other),Bisaccate def indet,Classopollis deformed indet (light),Classopollis deformed indet (light) tetraether,Classopollis deformed indet (dark),Fungal remains,Reference,Reference2
1600,127,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,0,3,0,0,0,0,0,0,6,35,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,79,0,0,NA,0,0,0,1,0,0,76,0,0,1,1,0,4,0,21,0,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,NA,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,7,10,36,3,2,0,0,1,0,0,0,65,22,1,160,0,9,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
1365,233,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,2,1,2,4,1,0,0,0,0,0,0,3,27,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,66,0,1,NA,0,0,0,0,0,0,118,0,0,2,1,0,2,0,4,1,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,4,0,0,0,14,24,0,0,0,0,0,0,0,5,0,9,1,57,0,0,0,0,0,0,0,0,31,12,1,50,0,5,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
1125,94,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,0,1,2,3,4,2,0,1,4,0,0,0,0,0,0,10,20,0,0,0,11,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,2,47,0,0,NA,0,0,1,0,0,0,144,0,0,5,0,0,1,1,8,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,NA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,34,1,2,0,0,0,0,0,0,249,36,3,173,1,8,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
1045,241,0,0,0,0,0,1,5,2,4,0,0,0,0,0,1,0,0,6,7,4,3,3,0,1,0,0,1,0,0,1,9,13,0,0,1,20,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,51,0,0,NA,1,0,0,0,0,0,109,0,0,8,0,0,5,4,8,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,5,1,0,1,0,1,0,0,NA,0,0,0,2,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,35,3,0,0,0,0,0,0,0,228,40,3,237,3,8,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
965,254,3,0,0,0,0,2,0,2,5,0,0,1,2,0,1,0,0,2,1,4,1,5,1,5,0,0,0,0,0,0,14,29,0,0,1,16,5,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,2,0,1,52,0,0,NA,0,0,0,0,0,1,92,0,0,9,1,0,1,0,10,0,0,1,1,1,0,0,11,2,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,NA,0,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,17,1,3,0,49,1,1,0,0,0,0,0,0,212,41,1,286,0,8,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
885,295,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,1,1,7,2,6,3,8,0,4,0,0,0,0,0,3,17,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,39,0,0,NA,3,0,0,0,0,0,135,0,0,7,0,0,1,0,5,0,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,11,0,1,0,51,0,1,0,0,0,0,0,0,129,19,0,160,0,4,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
805,396,0,0,0,0,0,0,0,0,4,0,0,5,1,2,0,0,0,6,0,3,8,5,0,0,0,0,0,0,0,0,14,0,0,0,0,27,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,8,0,0,NA,0,0,0,0,0,0,151,0,0,2,0,0,0,0,21,0,0,0,1,1,0,1,5,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,3,0,0,3,0,0,6,9,0,1,1,2,0,0,0,0,0,0,6,0,112,8,0,0,0,0,0,0,0,87,44,0,260,0,29,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
775,512,0,0,0,0,0,0,2,1,7,0,0,1,14,0,0,1,0,0,1,5,0,6,3,4,0,0,0,0,0,0,5,24,0,0,0,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12,0,0,NA,0,1,1,0,0,0,98,1,0,1,2,0,2,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,53,0,4,0,93,1,7,0,0,0,0,0,0,64,33,0,260,1,6,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
745,419,1,0,0,0,0,1,7,4,3,0,0,0,2,0,0,1,0,27,2,0,3,5,2,0,0,0,0,0,0,0,15,55,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,7,0,0,NA,0,3,0,0,0,0,130,0,0,1,1,0,1,0,11,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,99,0,10,0,0,0,0,0,0,57,26,3,383,0,12,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
715,234,0,0,0,0,0,0,11,0,3,0,0,1,0,0,0,0,0,13,0,4,0,1,12,0,0,0,0,0,0,1,35,63,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,6,0,0,50,0,0,NA,0,0,0,0,0,0,71,0,0,5,0,0,1,0,0,1,1,0,1,0,0,0,6,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,NA,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,102,0,25,0,0,0,0,0,0,63,44,5,360,0,22,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
685,807,0,0,0,0,0,1,7,0,2,0,0,6,4,0,0,0,1,1,0,2,3,8,0,3,0,0,0,0,0,1,8,20,0,0,0,62,13,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,3,0,0,34,0,0,NA,0,1,0,0,0,0,101,0,0,7,0,0,1,0,4,0,0,0,1,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,109,1,12,0,0,0,0,0,0,73,58,3,861,9,30,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
655,353,1,0,0,0,0,3,1,0,2,0,0,6,0,0,0,0,0,8,0,0,3,10,1,0,0,0,0,0,0,0,16,16,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,59,0,0,NA,0,0,0,0,0,0,111,0,0,8,0,0,0,0,12,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,1,0,8,4,191,1,0,0,0,0,0,0,0,57,25,0,430,0,13,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
625,364,0,0,0,0,0,0,3,4,2,0,0,0,3,0,0,0,0,3,2,4,0,6,4,4,0,0,0,0,1,0,7,18,0,0,0,28,3,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,3,63,0,1,NA,2,0,2,0,0,0,89,0,0,10,1,0,1,1,8,0,0,2,3,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,0,2,0,0,14,0,0,0,0,1,1,0,0,0,0,0,0,5,0,14,3,31,2,4,0,0,0,0,1,0,120,66,0,580,0,8,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
595,398,3,0,0,0,0,1,10,0,6,0,0,2,2,0,1,0,0,9,0,5,1,7,7,4,0,0,0,0,0,0,20,27,0,0,0,25,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,6,0,1,29,0,0,NA,0,0,0,0,1,0,92,0,0,8,0,0,0,2,13,1,1,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,0,0,2,0,1,1,1,0,4,0,0,0,0,0,1,2,1,1,0,48,3,14,0,0,0,0,0,0,104,33,0,299,0,6,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
580,359,1,0,0,0,0,0,6,0,3,0,0,2,0,0,0,0,0,3,0,1,1,16,2,0,0,0,0,0,0,0,26,10,0,0,0,46,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,19,0,0,NA,0,0,0,0,0,0,114,0,1,10,0,0,0,1,18,0,0,1,0,0,0,1,14,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,0,0,0,0,2,0,0,3,0,0,8,0,0,8,1,0,0,0,0,0,3,0,10,0,137,9,0,0,0,1,0,0,0,25,8,0,156,0,17,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
565,420,1,0,0,0,0,0,7,0,2,0,0,0,1,0,2,2,0,8,0,5,0,7,4,1,0,0,0,0,0,0,20,43,0,0,0,16,6,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,7,0,0,NA,0,0,0,0,0,0,121,0,0,2,1,0,1,0,16,1,1,0,0,1,1,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,2,0,0,14,0,161,0,9,0,0,0,0,0,0,35,14,0,400,0,9,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
535,715,0,0,0,0,0,0,1,0,5,0,0,1,1,1,0,0,0,2,2,4,0,4,2,2,0,0,0,0,0,0,11,28,0,0,0,85,18,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,3,0,2,1,0,0,NA,0,0,0,0,0,0,92,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,13,1,40,3,16,0,0,1,0,0,0,69,52,0,290,0,8,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
505,728,0,0,0,0,0,0,3,1,4,0,0,0,5,1,0,0,0,6,6,11,1,2,0,0,0,0,0,0,0,0,13,52,0,1,0,86,31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9,0,0,NA,0,0,0,0,0,0,57,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,1,0,7,0,0,0,0,1,1,0,0,1,0,1,0,0,0,18,5,116,0,12,3,0,0,0,0,0,45,39,1,363,0,15,1,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
475,327,1,0,0,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,3,2,8,0,0,0,0,0,0,0,0,3,29,0,0,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,NA,0,0,0,0,0,0,95,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,29,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,4,0,2,0,0,3,0,0,26,0,0,0,0,0,0,0,0,3,0,205,0,12,2,0,0,0,0,0,15,12,1,292,1,3,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
445,306,2,0,0,0,0,0,1,4,2,0,0,3,4,1,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,8,24,0,0,0,54,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,13,0,0,NA,1,0,0,0,0,0,50,0,0,7,0,0,0,0,7,0,1,0,0,0,0,0,102,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,2,0,6,0,55,1,10,1,0,0,0,0,0,65,56,0,333,2,7,0,"Bonis N, Ruhl M, Kürschner W (2010) Climate change driven black shale deposition during the end-Triassic in the western Tethys. Palaeogeography, Palaeoclimatology, Palaeoecology 290:151–159",Schobben MAN (2011) Marine and terrestrial proxy records of environmental changes across the Triassic / Jurassic transition : A combined geochemical and palynological approach. MSc-thesis (https://dspace.library.uu.nl/bitstream/handle/1874/207821/Marine%20and%20terrestrial%20proxy%20records%20of%20environmental%20changes%20across%20the%20TriassicJurassic%20transition.pdf?sequence=1&isAllowed=y)
